structure_id,chain_id,sasa
AF-A0A024R1R8-F1-model_v1,A,7825.99
AF-A0A024RBG1-F1-model_v1,A,12653.76
AF-A0A024RCN7-F1-model_v1,A,6004.39
AF-A0A075B6H5-F1-model_v1,A,9193.46
AF-A0A075B6H7-F1-model_v1,A,8219.85
AF-A0A075B6H8-F1-model_v1,A,8740.96
AF-A0A075B6H9-F1-model_v1,A,8161.25
AF-A0A075B6I0-F1-model_v1,A,8768.18
AF-A0A075B6I1-F1-model_v1,A,8800.1
AF-A0A075B6I3-F1-model_v1,A,8613.7
AF-A0A075B6I4-F1-model_v1,A,8649.47
AF-A0A075B6I6-F1-model_v1,A,8592.29
AF-A0A075B6I7-F1-model_v1,A,8194.78
AF-A0A075B6I9-F1-model_v1,A,8536.36
AF-A0A075B6J1-F1-model_v1,A,8532.56
AF-A0A075B6J2-F1-model_v1,A,9183.25
AF-A0A075B6J6-F1-model_v1,A,8791.23
AF-A0A075B6J9-F1-model_v1,A,8845.93
AF-A0A075B6K0-F1-model_v1,A,8572.59
AF-A0A075B6K2-F1-model_v1,A,8638.39
AF-A0A075B6K4-F1-model_v1,A,8859.51
AF-A0A075B6K5-F1-model_v1,A,8508.6
AF-A0A075B6K6-F1-model_v1,A,9160.08
AF-A0A075B6L2-F1-model_v1,A,9568.81
AF-A0A075B6L6-F1-model_v1,A,8448.3
AF-A0A075B6N1-F1-model_v1,A,8292.06
AF-A0A075B6N2-F1-model_v1,A,8219.64
AF-A0A075B6N3-F1-model_v1,A,8561.92
AF-A0A075B6N4-F1-model_v1,A,8602.15
AF-A0A075B6P5-F1-model_v1,A,8574.31
AF-A0A075B6Q5-F1-model_v1,A,8466.37
AF-A0A075B6R0-F1-model_v1,A,9440.47
AF-A0A075B6R2-F1-model_v1,A,8391.52
AF-A0A075B6R9-F1-model_v1,A,8817.41
AF-A0A075B6S0-F1-model_v1,A,2457.39
AF-A0A075B6S2-F1-model_v1,A,8806.22
AF-A0A075B6S4-F1-model_v1,A,8628.11
AF-A0A075B6S5-F1-model_v1,A,8539.26
AF-A0A075B6S6-F1-model_v1,A,8716.03
AF-A0A075B6S9-F1-model_v1,A,8705.49
AF-A0A075B6T6-F1-model_v1,A,8259.08
AF-A0A075B6T7-F1-model_v1,A,11517.06
AF-A0A075B6T8-F1-model_v1,A,8561.25
AF-A0A075B6U4-F1-model_v1,A,9059.87
AF-A0A075B6U6-F1-model_v1,A,7699.12
AF-A0A075B6V2-F1-model_v1,A,2607.4
AF-A0A075B6V5-F1-model_v1,A,8600.57
AF-A0A075B6W5-F1-model_v1,A,8980.86
AF-A0A075B6X5-F1-model_v1,A,8932.4
AF-A0A075B6Y3-F1-model_v1,A,2854.46
AF-A0A075B6Y9-F1-model_v1,A,2879.45
AF-A0A075B700-F1-model_v1,A,1988.5
AF-A0A075B706-F1-model_v1,A,2373.85
AF-A0A075B734-F1-model_v1,A,24872.23
AF-A0A075B759-F1-model_v1,A,7738.74
AF-A0A075B767-F1-model_v1,A,7775.68
AF-A0A075B7B6-F1-model_v1,A,8451.39
AF-A0A075B7B8-F1-model_v1,A,8615.75
AF-A0A075B7D0-F1-model_v1,A,8419.2
AF-A0A075B7D4-F1-model_v1,A,8295.58
AF-A0A075B7D8-F1-model_v1,A,8455.95
AF-A0A075B7E8-F1-model_v1,A,8203.56
AF-A0A075B7F0-F1-model_v1,A,7949.75
AF-A0A075B7F1-F1-model_v1,A,8327.88
AF-A0A087WSX0-F1-model_v1,A,8924.33
AF-A0A087WSY4-F1-model_v1,A,8554.98
AF-A0A087WSY6-F1-model_v1,A,8267.53
AF-A0A087WSZ0-F1-model_v1,A,8439.55
AF-A0A087WSZ9-F1-model_v1,A,8476.12
AF-A0A087WT01-F1-model_v1,A,8155.21
AF-A0A087WT02-F1-model_v1,A,7962.83
AF-A0A087WT03-F1-model_v1,A,8638.54
AF-A0A087WTH1-F1-model_v1,A,10745.43
AF-A0A087WTH5-F1-model_v1,A,15452.31
AF-A0A087WUL8-F1-model_v1,A,196156.51
AF-A0A087WUM9-F1-model_v1,A,13152.88
AF-A0A087WUV0-F1-model_v1,A,50651.54
AF-A0A087WV53-F1-model_v1,A,15413.91
AF-A0A087WV62-F1-model_v1,A,8533.62
AF-A0A087WVF3-F1-model_v1,A,47968.23
AF-A0A087WW49-F1-model_v1,A,8378.12
AF-A0A087WW87-F1-model_v1,A,9075.76
AF-A0A087WWA1-F1-model_v1,A,13031.11
AF-A0A087WX78-F1-model_v1,A,44075.87
AF-A0A087WXM9-F1-model_v1,A,52311.2
AF-A0A087WXS9-F1-model_v1,A,46531.12
AF-A0A087WYE8-F1-model_v1,A,8654.72
AF-A0A087WZ39-F1-model_v1,A,8527.71
AF-A0A087X0K7-F1-model_v1,A,8499.07
AF-A0A087X0M5-F1-model_v1,A,8582.22
AF-A0A087X179-F1-model_v1,A,47182.92
AF-A0A087X1C1-F1-model_v1,A,10886.86
AF-A0A087X1C5-F1-model_v1,A,24756.78
AF-A0A087X1G2-F1-model_v1,A,46552.05
AF-A0A087X1L8-F1-model_v1,A,17232.83
AF-A0A096LNP1-F1-model_v1,A,7391.29
AF-A0A096LNT9-F1-model_v1,A,13345.44
AF-A0A096LNW5-F1-model_v1,A,20982.27
AF-A0A096LP01-F1-model_v1,A,11040.36
AF-A0A096LP49-F1-model_v1,A,138523.64
AF-A0A096LP55-F1-model_v1,A,8464.92
AF-A0A096LPG2-F1-model_v1,A,2806.04
AF-A0A096LPH7-F1-model_v1,A,16117.55
AF-A0A096LPI5-F1-model_v1,A,14079.13
AF-A0A096LPK6-F1-model_v1,A,10601.05
AF-A0A096LPK9-F1-model_v1,A,18088.66
AF-A0A0A0MRZ7-F1-model_v1,A,9138.79
AF-A0A0A0MRZ8-F1-model_v1,A,8466.18
AF-A0A0A0MRZ9-F1-model_v1,A,8812.62
AF-A0A0A0MS00-F1-model_v1,A,7946.78
AF-A0A0A0MS01-F1-model_v1,A,9101.58
